,precision,recall,f1-score,support
Non-Fraud,0.9692805173807599,0.9584332533972821,0.9638263665594855,1251.0
Fraud,0.1746031746031746,0.22448979591836735,0.19642857142857142,49.0
accuracy,0.9307692307692308,0.9307692307692308,0.9307692307692308,0.9307692307692308
macro avg,0.5719418459919673,0.5914615246578248,0.5801274689940285,1300.0
weighted avg,0.9393272944606819,0.9307692307692308,0.9349013727430127,1300.0
