scenario,train_samples,train_minority_count,train_majority_count,accuracy,precision_minority,recall_minority,f1_minority,auc_roc
Original Imbalanced,5197,197,5000,0.9623076923076923,0.5,0.04081632653061224,0.07547169811320754,0.800584022577856
Balanced with Vanilla GAN,10000,5000,5000,0.9361538461538461,0.18518518518518517,0.20408163265306123,0.1941747572815534,0.7218551689260837
Balanced with WGAN-GP,10000,5000,5000,0.9307692307692308,0.1746031746031746,0.22448979591836735,0.19642857142857142,0.7318063916213967
