epoch,critic_loss,generator_loss
1,3.8262988385700045,0.618769815989903
50,-0.04618320720536368,-1.070818739277976
100,0.49994044431618284,0.42898683888571604
150,0.22392965995130085,0.043074069278580804
200,0.08533291731561933,1.098088605063302
250,-0.16234112353551955,-0.17295740119048528
300,0.025309802520842778,-0.5579579472541809
350,-0.12075306475162506,-0.0749319919518062
400,-0.18383122412931352,-0.15899582686168806
450,-0.13531242062648138,-0.05163896775671414
500,-0.09710426912421272,0.2330909264939172
