,precision,recall,f1-score,support
Non-Fraud,0.9686998394863563,0.964828137490008,0.9667601121345615,1251.0
Fraud,0.18518518518518517,0.20408163265306123,0.1941747572815534,49.0
accuracy,0.9361538461538461,0.9361538461538461,0.9361538461538461,0.9361538461538461
macro avg,0.5769425123357708,0.5844548850715345,0.5804674347080574,1300.0
weighted avg,0.9391673640550046,0.9361538461538461,0.9376395872208712,1300.0
