accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.8559057116508484,0.5913296937942505,0.35369277000427246,0.9596154093742371,0.6501623392105103,0.2106982320547104
0.9574212431907654,0.6706560850143433,0.17235472798347473,0.9596154093742371,0.7647892236709595,0.1493149697780609
0.9600673317909241,0.7351737022399902,0.15502913296222687,0.9596154093742371,0.7973949313163757,0.14192001521587372
0.961029589176178,0.7341946363449097,0.15643557906150818,0.9596154093742371,0.8292560577392578,0.13698548078536987
0.9600673317909241,0.7735077142715454,0.14529168605804443,0.9596154093742371,0.8227618336677551,0.1393132209777832
0.9598268270492554,0.7909449338912964,0.14126530289649963,0.9586538672447205,0.8417563438415527,0.13777858018875122
0.958624005317688,0.8045151829719543,0.13803790509700775,0.9586538672447205,0.8468224406242371,0.13462001085281372
0.9619918465614319,0.8397290706634521,0.13041862845420837,0.9596154093742371,0.8628628849983215,0.13006970286369324
0.9624729156494141,0.8221005797386169,0.13373306393623352,0.9596154093742371,0.8632168769836426,0.12541697919368744
0.960548460483551,0.8335840702056885,0.12999920547008514,0.9596154093742371,0.8609951138496399,0.12605994939804077
0.9622323513031006,0.8289971351623535,0.13016077876091003,0.9596154093742371,0.8584194183349609,0.1256486177444458
0.9636757373809814,0.8477984070777893,0.12381833791732788,0.9605769515037537,0.8660367727279663,0.12392424046993256
0.9627134799957275,0.8366305232048035,0.12452761828899384,0.9624999761581421,0.8702361583709717,0.12135792523622513
0.9641568660736084,0.8741588592529297,0.11736001819372177,0.9624999761581421,0.8724333643913269,0.12106017768383026
0.9622323513031006,0.8661656975746155,0.1199708953499794,0.9615384340286255,0.874643087387085,0.11901584267616272
0.9612701535224915,0.8727297782897949,0.1210174635052681,0.9605769515037537,0.866549551486969,0.1225447803735733
0.963435173034668,0.8822881579399109,0.11390835791826248,0.9634615182876587,0.8812960386276245,0.1218922883272171
0.965840756893158,0.865842878818512,0.11771106719970703,0.9605769515037537,0.8715300559997559,0.1225375384092331
0.963435173034668,0.8565095067024231,0.12179044634103775,0.9624999761581421,0.8712859153747559,0.12406262755393982
0.9641568660736084,0.8611917495727539,0.11953317373991013,0.9605769515037537,0.871200442314148,0.12443307787179947
0.9639163017272949,0.8572503924369812,0.12056169658899307,0.9624999761581421,0.8756317496299744,0.12293925881385803
0.9641568660736084,0.8645538687705994,0.11865635961294174,0.9615384340286255,0.8743378520011902,0.12197373807430267
0.9660813212394714,0.8805723190307617,0.11248345673084259,0.9624999761581421,0.8759002685546875,0.12320978939533234
0.9631946086883545,0.8920637965202332,0.11196896433830261,0.9624999761581421,0.8786347508430481,0.12247047573328018
0.9663218855857849,0.8872998356819153,0.11224902421236038,0.9624999761581421,0.8703582286834717,0.12366896122694016
0.9665624499320984,0.8791696429252625,0.11393456161022186,0.9634615182876587,0.876950204372406,0.12070372700691223
0.9668029546737671,0.886256754398346,0.11112876236438751,0.9615384340286255,0.8724333047866821,0.12602843344211578
