accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.703249990940094,0.7753015756607056,0.5733104944229126,0.8479999899864197,0.9166005253791809,0.42357340455055237
0.8038750290870667,0.8816012144088745,0.4357730448246002,0.8840000033378601,0.9462180137634277,0.3152550756931305
0.8424999713897705,0.9159949421882629,0.3719208836555481,0.906000018119812,0.9594969749450684,0.26591727137565613
0.8651250004768372,0.9349483847618103,0.32797664403915405,0.9164999723434448,0.9673234820365906,0.23383520543575287
0.875249981880188,0.9437005519866943,0.3045758605003357,0.9240000247955322,0.9712010025978088,0.21784202754497528
0.8856250047683716,0.9513391256332397,0.2825029194355011,0.9304999709129333,0.9759979844093323,0.2009839564561844
0.8918750286102295,0.9552133083343506,0.27034687995910645,0.9359999895095825,0.9792634844779968,0.18756720423698425
0.9010000228881836,0.961388111114502,0.2511237859725952,0.9394999742507935,0.9802410006523132,0.18577337265014648
0.906374990940094,0.963718056678772,0.24390749633312225,0.9415000081062317,0.9831414222717285,0.16621269285678864
0.9077500104904175,0.9673227071762085,0.2295893430709839,0.9419999718666077,0.9846564531326294,0.16102291643619537
0.9108750224113464,0.9677137136459351,0.22823353111743927,0.9445000290870667,0.9845713973045349,0.15904781222343445
0.918874979019165,0.9726173877716064,0.210066020488739,0.9384999871253967,0.9854760766029358,0.15450388193130493
0.921999990940094,0.9742658734321594,0.20211252570152283,0.9440000057220459,0.9855759739875793,0.14891253411769867
0.9223750233650208,0.9743084907531738,0.20153069496154785,0.940500020980835,0.9865785241127014,0.14669470489025116
0.9259999990463257,0.9756956696510315,0.194996178150177,0.9424999952316284,0.9864720702171326,0.1473645120859146
0.921750009059906,0.9758475422859192,0.19517946243286133,0.9459999799728394,0.9868974685668945,0.14336197078227997
0.9312499761581421,0.977990984916687,0.18498167395591736,0.9449999928474426,0.9879360795021057,0.13767577707767487
0.9269999861717224,0.9781261682510376,0.1850091964006424,0.9465000033378601,0.986824631690979,0.14183488488197327
0.9302499890327454,0.9783070087432861,0.18353593349456787,0.9455000162124634,0.9874114990234375,0.140203595161438
0.9301249980926514,0.9791650772094727,0.17859670519828796,0.9465000033378601,0.9877479672431946,0.13675817847251892
0.9286249876022339,0.9786864519119263,0.1818307340145111,0.9480000138282776,0.9875995516777039,0.13723133504390717
0.9304999709129333,0.9804083108901978,0.17557410895824432,0.9484999775886536,0.9880639910697937,0.1337415724992752
0.9322500228881836,0.9806243777275085,0.17432183027267456,0.9470000267028809,0.9883350133895874,0.13190624117851257
0.9316250085830688,0.979834794998169,0.17564482986927032,0.9440000057220459,0.9868990182876587,0.14278565347194672
0.9288750290870667,0.9790217876434326,0.1810891330242157,0.9449999928474426,0.9876699447631836,0.13691915571689606
0.937749981880188,0.9807133078575134,0.17190785706043243,0.9495000243186951,0.9885950684547424,0.13270996510982513
0.937874972820282,0.9812995791435242,0.16828158497810364,0.9484999775886536,0.9876529574394226,0.13501951098442078
0.9357500076293945,0.9825575351715088,0.1651374101638794,0.9480000138282776,0.9879969954490662,0.13511638343334198
0.9358749985694885,0.9816156029701233,0.16791245341300964,0.9480000138282776,0.987574577331543,0.1346873641014099
0.9315000176429749,0.9811990261077881,0.17187467217445374,0.9449999928474426,0.986830472946167,0.14055746793746948
0.9363750219345093,0.9824355244636536,0.16501452028751373,0.9490000009536743,0.9882580637931824,0.13147355616092682
0.9347500205039978,0.9820865988731384,0.166780024766922,0.9490000009536743,0.9877810478210449,0.13604308664798737
0.9363750219345093,0.9828673601150513,0.1626371294260025,0.9449999928474426,0.9876565337181091,0.13829082250595093
0.9369999766349792,0.9834728837013245,0.16039729118347168,0.949999988079071,0.9876300096511841,0.13521333038806915
0.9399999976158142,0.9837399125099182,0.15721869468688965,0.9455000162124634,0.98751300573349,0.13572022318840027
0.9397500157356262,0.9839352965354919,0.15685994923114777,0.9449999928474426,0.9875048995018005,0.14038346707820892
0.9361249804496765,0.98343425989151,0.1588076651096344,0.9520000219345093,0.9876894950866699,0.13324905931949615
0.9415000081062317,0.9845306873321533,0.15415921807289124,0.9474999904632568,0.9879000782966614,0.1320381462574005
0.9382500052452087,0.9832528829574585,0.16001899540424347,0.9480000138282776,0.9879029393196106,0.13571639358997345
0.9341250061988831,0.9835255146026611,0.16028787195682526,0.9480000138282776,0.9873425960540771,0.13595633208751678
0.9403749704360962,0.984052300453186,0.15540754795074463,0.9480000138282776,0.9874234795570374,0.13556240499019623
0.9409999847412109,0.9842342734336853,0.15501129627227783,0.9484999775886536,0.9873374104499817,0.1379723697900772
0.9394999742507935,0.9844348430633545,0.15340641140937805,0.9495000243186951,0.9878305792808533,0.1337210088968277
