,precision,recall,f1-score,support
Non-Fraud,0.9637345679012346,0.9984012789768185,0.9807616804083236,1251.0
Fraud,0.5,0.04081632653061224,0.07547169811320754,49.0
accuracy,0.9623076923076923,0.9623076923076923,0.9623076923076923,0.9623076923076923
macro avg,0.7318672839506173,0.5196088027537153,0.5281166892607656,1300.0
weighted avg,0.9462553418803418,0.9623076923076923,0.9466392118448922,1300.0
